,Clusters,Neighborhood,Borough,Latitude,Longitude,Common Venue
0,2,Allerton,Bronx,40.86578787802982,-73.85931863221647,Chinese Restaurant
1,1,Annadale,Staten Island,40.53811417474507,-74.17854866165878,Pizza Place
2,1,Arden Heights,Staten Island,40.54928582278321,-74.18588674583893,Pizza Place
3,1,Arlington,Staten Island,40.63532509911492,-74.16510420241124,Pizza Place
4,1,Arrochar,Staten Island,40.596312571276734,-74.06712363225574,Italian Restaurant
5,3,Arverne,Queens,40.58914394372971,-73.79199233136943,Pizza Place
6,0,Astoria,Queens,40.76850859335492,-73.91565374304234,Greek Restaurant
7,1,Astoria Heights,Queens,40.7703173929982,-73.89467996270574,Pizza Place
8,2,Auburndale,Queens,40.76172954903262,-73.79176243728061,Korean Restaurant
9,2,Bath Beach,Brooklyn,40.59951870282238,-73.99875221443519,Chinese Restaurant
10,0,Battery Park City,Manhattan,40.71193198394565,-74.01686930508617,Italian Restaurant
11,2,Bay Ridge,Brooklyn,40.625801065010656,-74.03062069353813,Middle Eastern Restaurant
12,0,Bay Terrace,Queens,40.782842806245554,-73.7768022262158,Italian Restaurant
12,0,Bay Terrace,Staten Island,40.55398800858462,-74.13916622175768,Italian Restaurant
13,2,Baychester,Bronx,40.866858107252696,-73.83579759808117,Pizza Place
14,0,Bayside,Queens,40.76604063281064,-73.7742736306867,Korean Restaurant
15,2,Bayswater,Queens,40.611321691283834,-73.76596781445627,Chinese Restaurant
16,2,Bedford Park,Bronx,40.870185164975325,-73.8855121841913,Chinese Restaurant
17,2,Bedford Stuyvesant,Brooklyn,40.687231607720456,-73.94178488690297,Pizza Place
18,0,Beechhurst,Queens,40.79278140360048,-73.80436451720988,Italian Restaurant
19,2,Bellaire,Queens,40.73301404027834,-73.73889198912481,Chinese Restaurant
20,0,Belle Harbor,Queens,40.57615556543109,-73.8540175039252,Italian Restaurant
21,1,Bellerose,Queens,40.72857318176675,-73.72012814826903,Pizza Place
22,0,Belmont,Bronx,40.85727710073895,-73.88845196134804,Italian Restaurant
23,2,Bensonhurst,Brooklyn,40.61100890202044,-73.99517998380729,Chinese Restaurant
24,0,Bergen Beach,Brooklyn,40.61514955045308,-73.89855633630317,Middle Eastern Restaurant
25,2,Blissville,Queens,40.73725071694497,-73.93244235260178,Chinese Restaurant
26,1,Bloomfield,Staten Island,40.60577868452358,-74.18725638381567,Pizza Place
27,0,Boerum Hill,Brooklyn,40.685682912091444,-73.98374824115798,French Restaurant
28,2,Borough Park,Brooklyn,40.633130512758015,-73.99049823044811,Pizza Place
29,1,Breezy Point,Queens,40.55740128845452,-73.92551196994168,American Restaurant
30,2,Briarwood,Queens,40.71093547252271,-73.81174822458634,Fast Food Restaurant
31,0,Brighton Beach,Brooklyn,40.57682506566604,-73.96509448785336,Eastern European Restaurant
32,1,Broad Channel,Queens,40.60302658351238,-73.8200548911032,Chinese Restaurant
33,2,Broadway Junction,Brooklyn,40.67786104769531,-73.90331684852599,Fried Chicken Joint
34,1,Bronxdale,Bronx,40.85272297633017,-73.86172577555115,Pizza Place
35,0,Brooklyn Heights,Brooklyn,40.695863722724084,-73.99378225496424,American Restaurant
36,3,Brookville,Queens,40.66000322733613,-73.75175310731153,Caribbean Restaurant
37,3,Brownsville,Brooklyn,40.66394994339755,-73.91023536176607,Pizza Place
38,2,Bulls Head,Staten Island,40.6095918004203,-74.15940948657122,Chinese Restaurant
39,1,Bushwick,Brooklyn,40.69811611017901,-73.92525797487045,Pizza Place
40,0,Butler Manor,Staten Island,40.50608165346305,-74.22950350260027,Italian Restaurant
41,3,Cambria Heights,Queens,40.692774639160845,-73.73526873708026,Caribbean Restaurant
42,3,Canarsie,Brooklyn,40.63556432797428,-73.90209269778966,Caribbean Restaurant
43,0,Carnegie Hill,Manhattan,40.7826825671257,-73.95325646837112,New American Restaurant
44,0,Carroll Gardens,Brooklyn,40.680540231076485,-73.99465372828006,Italian Restaurant
