,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
50,836cbf45a74330f6a14d4b8b593c6598,100 CHURCH STREET,100,CHURCH STREET,100 CHURCH STREET,NEW YORK,Manhattan,1,10007.0,40.7132883142,-74.01012506970001,981443.071893,199146.833383,1001409,1001250020,101,1,2100,MN24,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,0,,City Leased,Public,NYC Law Department,NYCLAW,City,NYC Law Department,NYCLAW,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,1,Regional
51,1a4bca447b6acf1877d391da4f4cc8ae,100 CHURCH STREET,100,CHURCH STREET,100 CHURCH STREET,NEW YORK,Manhattan,1,10007.0,40.7132883142,-74.01012506970001,981443.071893,199146.833383,1001409,1001250020,101,1,2100,MN24,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,0,,City Leased,Public,NYC Office of Administrative Trials and Hearings,NYCOATH,City,NYC Office of Administrative Trials and Hearings,NYCOATH,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,1,Regional
52,b571709dba26ff0bb09149182fefee2c,100 CHURCH STREET,100,CHURCH STREET,100 CHURCH STREET,NEW YORK,Manhattan,1,10007.0,40.7132883142,-74.01012506970001,981443.071893,199146.833383,1001409,1001250020,101,1,2100,MN24,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,0,,City Leased,Public,NYC Business Integrity Commission,NYCBIC,City,NYC Business Integrity Commission,NYCBIC,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,1,Regional
53,6d7d928339ca94a207a9dcf04a85aefd,100 CHURCH STREET,100,CHURCH STREET,100 CHURCH STREET,NEW YORK,Manhattan,1,10007.0,40.7132883142,-74.01012506970001,981443.071893,199146.833383,1001409,1001250020,101,1,2100,MN24,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,0,,City Leased,Public,NYC Campaign Finance Board,NYCCFB,City,NYC Campaign Finance Board,NYCCFB,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,1,Regional
54,4c7f4f8ce20c355c41368deb88800965,100 CHURCH STREET,100,CHURCH STREET,100 CHURCH STREET,NEW YORK,Manhattan,1,10007.0,40.7132883142,-74.01012506970001,981443.071893,199146.833383,1001409,1001250020,101,1,2100,MN24,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,0,,City Leased,Public,NYC Civilian Complaint Review Board,NYCCCRB,City,NYC Civilian Complaint Review Board,NYCCCRB,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,1,Regional
55,43e1526c1bbc555c2d874c48fafb1e31,100 CHURCH STREET,100,CHURCH STREET,100 CHURCH STREET,NEW YORK,Manhattan,1,10007.0,40.7132883142,-74.01012506970001,981443.071893,199146.833383,1001409,1001250020,101,1,2100,MN24,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,0,,City Leased,Public,NYC Department of Environmental Protection,NYCDEP,City,NYC Department of Environmental Protection,NYCDEP,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,1,Regional
64,35e98800c1d42b14c7e51cc71bba00ee,100TH STREET BUS DEPOT,1301,LEX AVENUE,1301 LEX AVENUE,NEW YORK,Manhattan,1,10128.0,40.7802722013,-73.95478162479999,996773.0910840001,223554.28148499998,1048045,1015160020,108,5,14802,MN40,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,GARAGE,0,,City Owned,Public,Metropolitan Transportation Authority,MTA,State,Metropolitan Transportation Authority,MTA,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,19,Regional
72,54cdba2346025108a4406a5201549e1b,10101 FOSTER AVENUE REALTY LLC,101,FOSTER AVENUE,101 FOSTER AVENUE,BROOKLYN,Brooklyn,3,11230.0,40.6280544898,-73.97630718399999,990826.653173,168094.453479,3398029,3054260001,314,44,48000,BK42,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,20.0,70,Regional
73,5caf8e0b04467d72759eb520efe13f10,10101 FOSTER AVENUE REALTY LLC,101,FOSTER AVENUE,101 FOSTER AVENUE,BROOKLYN,Brooklyn,3,11230.0,40.6280544898,-73.97630718399999,990826.653173,168094.453479,3398029,3054260001,314,44,48000,BK42,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,20.0,70,Regional
85,a6e5e074bf6dcac75a3a88d554740cbd,107-01 AVENUE D COMPANY,10701,AVENUE D,10701 AVENUE D,BROOKLYN,Brooklyn,3,11236.0,40.6552058299,-73.9005287363,1011850.0004,178001.206507,3086009,3038710090,318,42,109800,BK82,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,18.0,69,Regional
86,4ead1c779612dae787e27a2b4e50a44b,107-01 AVENUE D COMPANY,10701,AVENUE D,10701 AVENUE D,BROOKLYN,Brooklyn,3,11236.0,40.6552058299,-73.9005287363,1011850.0004,178001.206507,3086009,3038710090,318,42,109800,BK82,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,18.0,69,Regional
91,b2556a6f54e58188165f79c8c8e69c94,11 METROTECH CENTER,,,,BROOKLYN,Brooklyn,3,11201.0,40.69533,-73.98484300000001,988453.0398850001,192604.28319400002,0,3001320001,302,33,1500,BK38,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,13.0,84,Regional
92,216a6950b0262a34311681b5ea8ec987,11 METROTECH CENTER,,,,BROOKLYN,Brooklyn,3,11201.0,40.695225,-73.98449699999999,988548.99254,192566.04538599998,0,3001320023,302,33,1500,BK38,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,0,,City Leased,Public,NYC Department of Information Technology and Telecommunications,NYCDOITT,City,NYC Department of Information Technology and Telecommunications,NYCDOITT,dcp_colp,ADMINISTRATION OF GOVERNMENT,13.0,84,Regional
112,25070e1e4cb6b4119a99cc09717a6292,115TH POLICE PRECINCT PARKING,91-01,NORTHERN BOULEVARD,91-01 NORTHERN BOULEVARD,JACKSON HEIGHTS,Queens,4,11372.0,40.756763,-73.876587,1018440.91135,215009.951858,0,4014210040,403,25,35100,QN28,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,30.0,115,Local
121,44babaa789f08466aa9ce1ef79cca12c,1185 COMMERCE REALTY LLC-RIMI,1185,COMMERCE AVENUE,1185 COMMERCE AVENUE,BRONX,Bronx,2,10462.0,40.8341931821,-73.8413719228,1028145.9647700001,243236.116596,2027282,2038500001,209,13,9600,BX59,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,8.0,43,Regional
122,2421bfe19236f6715cb9cbab8c8f4d8b,1185 COMMERCE REALTY LLC-RIMI,1185,COMMERCE AVENUE,1185 COMMERCE AVENUE,BRONX,Bronx,2,10462.0,40.8341931821,-73.8413719228,1028145.9647700001,243236.116596,2027282,2038500001,209,13,9600,BX59,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,8.0,43,Regional
123,fd26576e2c8bce90d57cdccb1754a5a6,1185 COMMERCE REALTY LLC-RIZZO,1185,COMMERCE AVENUE,1185 COMMERCE AVENUE,BRONX,Bronx,2,10462.0,40.8341931821,-73.8413719228,1028145.9647700001,243236.116596,2027282,2038500001,209,13,9600,BX59,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,8.0,43,Regional
