,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
44,76347fa8f5da477ac0996de896926cac,10 EAST END AVENUE GARAGE CORP.,10,EAST END AVENUE,10 EAST END AVENUE,NEW YORK,Manhattan,1,10075.0,40.7710586247,-73.94804603060001,998640.4840959999,220198.501254,1050768,1015760027,108,5,13600,MN32,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,10 East End Avenue Garage Corp.,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,19,Local
46,d9e6b7ce9b3ab784aceb4352eee01eeb,10 ST. PARKING CORP.,38,HENRY STREET,38 HENRY STREET,NEW YORK,Manhattan,1,10002.0,40.712790109699995,-73.9959737939,985366.175577,198965.185781,1084608,1002770037,103,1,800,MN27,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,0,,,Non-public,10 St. Parking Corp.,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,5,Local
47,a25d94d67143cca901656502026c8f41,10 WEST 21ST LLC,4,WEST 21 STREET,4 WEST 21 STREET,NEW YORK,Manhattan,1,10010.0,40.740401928800004,-73.9914208031,986627.405186,209025.11890899998,1087636,1008220045,105,3,5400,MN13,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,10 West 21st Llc,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,13,Local
49,a7c8b6c967fe1a61233f78a860c7da5e,10 WEST 66TH STREET CAR PARK LLC,10,WEST 66 STREET,10 WEST 66 STREET,NEW YORK,Manhattan,1,10023.0,40.7723256691,-73.9797746147,989852.027434,220656.507063,1028163,1011180022,107,6,14900,MN14,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,10 West 66th Street Car Park Llc,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,3.0,20,Local
56,c9e12bcec820152a99492b9b425f2e45,100 ML GARAGE CORP.,100,MAIDEN LANE,100 MAIDEN LANE,NEW YORK,Manhattan,1,10038.0,40.7067251773,-74.00724036,982242.5894940001,196755.605062,1001014,1000420001,101,1,700,MN25,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,100 Ml Garage Corp.,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,1,Local
60,ca1eb77d451ab0a7784c14b8ba452763,100 WILLIAM GARAGE CORP.,72,JOHN STREET,72 JOHN STREET,NEW YORK,Manhattan,1,10038.0,40.7083386562,-74.007175085,982260.7353370001,197343.442469,1001116,1000680036,101,1,1502,MN25,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,100 William Garage Corp.,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,1,Local
63,5c99293d66ad83c88b0e8bb6c33551b6,100-15 DITMARS PARKING LLC,100-33,DITMARS BOULEVARD,100-33 DITMARS BOULEVARD,EAST ELMHURST,Queens,4,11369.0,40.7701276217,-73.8693109135,1020449.4462700001,219882.04191300002,4617223,4016340001,403,21,35700,QN27,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,0,,,Non-public,100-15 Ditmars Parking Llc,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,30.0,115,Local
66,965d9df0034456ccb075a119742e8f47,"101 CAR PARK, LLC",101,WEST 23 STREET,101 WEST 23 STREET,NEW YORK,Manhattan,1,10011.0,40.7433984766,-73.9929649296,986199.420302,210116.818398,1014954,1007990035,104,3,9100,MN13,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,"101 Car Park, Llc",Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,13,Local
67,d14e75cdf749198be95eae7a0fbf3de3,101 JEROME AVENUE,101,JEROME AVENUE,101 JEROME AVENUE,BRONX,Bronx,2,10468.0,40.865432385300004,-73.8989864375,1012189.61406,254594.1093,0,0,207,14,40100,BX05,TRANSPORTATION,OTHER TRANSPORTATION,BRIDGE HOUSE,0,,,Public,NYC Department of Transportation,NYCDOT,City,NYC Department of Transportation,NYCDOT,dot_bridgehouses,CORE INFRASTRUCTURE AND TRANSPORTATION,10.0,52,Regional
69,1ecdd23ef93e1502de98ddacdcc42dcc,101 WEST END PARKING LLC,101,WEST END AVENUE,101 WEST END AVENUE,NEW YORK,Manhattan,1,10069.0,40.7751741679,-73.9886899813,987382.515134,221693.86604499997,1085785,1011710062,107,6,15100,MN14,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,101 West End Parking Llc,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,3.0,20,Local
70,24bb76fceacad5d9ea63ee32367518e2,1010 6TH AVE. GARAGE CORP.,1010,AVENUE OF THE AMERICAS,1010 AVENUE OF THE AMERICAS,NEW YORK,Manhattan,1,10018.0,40.75197,-73.98570699999999,988210.0854,213239.944275,1085979,1008397502,105,4,8400,MN17,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,1010 6th Ave. Garage Corp.,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,2.0,14,Local
74,15342b70de76d3c3b4cfa4d91b2d91e8,102 BRADHURST AVE. CORP.,102,BRADHURST AVENUE,102 BRADHURST AVENUE,NEW YORK,Manhattan,1,10039.0,40.824615,-73.941412,1000464.9619700001,239712.110569,1087464,1020457502,110,9,25900,MN03,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,102 Bradhurst Ave. Corp.,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,5.0,32,Local
75,cf3028970892c0a0280c6648d3eebe19,1020 PARKING LLC,1020,GRAND CONCOURSE,1020 GRAND CONCOURSE,BRONX,Bronx,2,10451.0,40.830137339000004,-73.9201396426,1006350.5173,241728.752429,2002823,2024610094,204,16,18301,BX14,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,0,,,Non-public,1020 Parking Llc,Non-public,City,NYC Department of Consumer Affairs,NYCDCA,dca_operatingbusinesses,CORE INFRASTRUCTURE AND TRANSPORTATION,9.0,44,Local
