,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
4,1ede4f0bbd4ee876b5a610bcefdf7bad,(CLOSED) ARLINGTON LIBRARY,203,ARLINGTON AVENUE,203 ARLINGTON AVENUE,BROOKLYN,Brooklyn,3,11207.0,40.680685585700004,-73.8872327644,1015527.24255,187288.66418599998,3087001,3039230052,305,37,117201,BK83,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,19.0,75,Local
5,93952d7b8d093b1a7f46fd345b3ed376,(CLOSED) BEDFORD LIBRARY,496,FRANKLIN AVENUE,496 FRANKLIN AVENUE,BROOKLYN,Brooklyn,3,11238.0,40.6818184937,-73.9561730298,996405.692233,187684.32399200002,3057384,3019970032,303,35,22700,BK69,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,13.0,79,Local
6,6acfed0b6aeb932be3f74f9935d5ce24,(CLOSED) BOROUGH PARK LIBRARY,1265,43 STREET,1265 43 STREET,BROOKLYN,Brooklyn,3,11219.0,40.6388780709,-73.9890104264,987299.991756,172037.07686300002,3135907,3055980048,312,39,22400,BK88,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,15.0,66,Local
7,2dc26afdfea298b825538b1c26ee0b2d,(CLOSED) BROOKLYN HEIGHTS LIBRARY,280,CADMAN PLAZA WEST,280 CADMAN PLAZA WEST,BROOKLYN,Brooklyn,3,11201.0,40.695676,-73.991435,986625.0643209999,192730.093698,0,3002397501,302,33,502,BK09,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,13.0,84,Local
8,eb983aee22f779671435dbe9b5b5f2d1,(CLOSED) BROWER PARK LIBRARY,725,ST MARKS AVENUE,725 ST MARKS AVENUE,BROOKLYN,Brooklyn,3,11216.0,40.6753716394,-73.94856509350001,998517.1812629999,185336.697329,3030731,3012200063,308,36,31500,BK61,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,17.0,77,Local
9,154996adb8c8e72795b7e6803598ac0e,(CLOSED) BROWNSVILLE LIBRARY,61,GLENMORE AVENUE,61 GLENMORE AVENUE,BROOKLYN,Brooklyn,3,11212.0,40.6715322681,-73.908603105,1009603.4236200001,183946.942687,3080669,3034890150,316,41,90600,BK81,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,23.0,73,Local
10,b6925b8f99c3107dcebedc6218c56035,(CLOSED) CARROLL GARDENS LIBRARY,396,CLINTON STREET,396 CLINTON STREET,BROOKLYN,Brooklyn,3,11231.0,40.683211631199995,-73.9980144009,984800.7072200001,188188.84966500002,3004336,3003380033,306,39,6700,BK33,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,15.0,76,Local
11,d1014155d86de29ca7774c76be226b0e,(CLOSED) CYPRESS HILLS LIBRARY,1197,SUTTER AVENUE,1197 SUTTER AVENUE,BROOKLYN,Brooklyn,3,11208.0,40.6727022419,-73.8740331931,1019192.4701299999,184385.09492,3252993,3042470033,305,42,119600,BK82,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,19.0,75,Local
12,f89540544047db4a0c0b0b5a7365f7f8,(CLOSED) DYKER LIBRARY,8202,13 AVENUE,8202 13 AVENUE,BROOKLYN,Brooklyn,3,11228.0,40.6163194441,-74.0120002208,980918.3923139999,163818.404874,3164019,3063020036,310,43,14800,BK30,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,20.0,68,Local
13,881453f4afedc1d82007995e5f60cc33,(CLOSED) EAST FLATBUSH LIBRARY,9612,CHURCH AVENUE,9612 CHURCH AVENUE,BROOKLYN,Brooklyn,3,11212.0,40.6557043399,-73.9149417743,1007850.68195,178178.615215,3103597,3047170038,317,42,89000,BK96,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,18.0,67,Local
14,d1b36bb5e6a74363f38585688187829f,(CLOSED) EASTERN PARKWAY LIBRARY,1044,EASTERN PARKWAY,1044 EASTERN PARKWAY,BROOKLYN,Brooklyn,3,11213.0,40.6684588592,-73.9336272516,1002662.59589,182820.961672,3037543,3013960006,309,35,35100,BK61,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,17.0,71,Local
15,8880702f0af58c2df1219b5423f397cf,(CLOSED) FLATLANDS LIBRARY,2065,FLATBUSH AVENUE,2065 FLATBUSH AVENUE,BROOKLYN,Brooklyn,3,11234.0,40.6197739889,-73.9332249811,1002787.71155,165083.82375399998,3219626,3078680039,318,45,65000,BK58,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,22.0,63,Local
16,9928a9c6cc6d081664c10021178db20c,(CLOSED) GERRITSEN BEACH LIBRARY,2808,GERRITSEN AVENUE,2808 GERRITSEN AVENUE,BROOKLYN,Brooklyn,3,11229.0,40.5914102116,-73.924008602,1005355.2756899999,154752.256139,3343823,3089230920,315,46,62800,BK17,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,22.0,61,Local
17,12ce9a98de315b33ab9abd1929704d02,(CLOSED) GRAVESEND LIBRARY,303,AVENUE X,303 AVENUE X,BROOKLYN,Brooklyn,3,11223.0,40.590542377,-73.9718088179,992079.708145,154428.187421,3194486,3071740096,315,47,38600,BK26,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,21.0,61,Local
18,2ba8f1b656d6ba474b316a0da918edf0,(CLOSED) JAMAICA BAY LIBRARY,9727,SEAVIEW AVENUE,9727 SEAVIEW AVENUE,BROOKLYN,Brooklyn,3,11236.0,40.6344911012,-73.8893297575,1014966.8815100001,170457.997881,3234514,3083000001,318,46,102200,BK50,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,18.0,69,Local
19,ec06591b4ea864cbc45251ab1a9875d5,(CLOSED) KENSINGTON LIBRARY,4207,18 AVENUE,4207 18 AVENUE,BROOKLYN,Brooklyn,3,11218.0,40.6312498905,-73.9754213017,991072.229782,169258.691067,3416544,3054160014,314,44,48000,BK42,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,22.0,70,Local
20,27081ff55d46fac4c27e9e30d546dc82,(CLOSED) KINGS HIGHWAY LIBRARY,2115,OCEAN AVENUE,2115 OCEAN AVENUE,BROOKLYN,Brooklyn,3,11229.0,40.610242063600005,-73.9531077684,997269.821717,161607.513194,3182576,3067830068,315,48,55000,BK44,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,22.0,61,Local
21,56f021bf13ba9c027e7c654904a6fc6a,(CLOSED) LEONARD LIBRARY,81,DEVOE STREET,81 DEVOE STREET,BROOKLYN,Brooklyn,3,11211.0,40.7136491808,-73.9479447774,998680.9592340001,199282.43367,3068818,3027620021,301,34,50300,BK90,LIBRARIES,PUBLIC LIBRARIES,PUBLIC LIBRARY,0,,,Public,Brooklyn Public Library,BPL,City,Brooklyn Public Library,BPL,bpl_libraries,LIBRARIES AND CULTURAL PROGRAMS,14.0,90,Local
