,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
32,71,2.0,1.0,10038.0,RC,5.0,24121.0,462377.0,30.0,30.0,43605009.0,1983.0,-74.00512890000002,40.7063613,0
33,74,2.0,1.0,10038.0,RC,5.0,41656.0,744146.0,35.0,36.0,79710304.0,1993.0,-74.00437149999999,40.7068609,0
157,1269,2.0,4.0,10019.0,R4,3.0,18836.0,404693.0,52.0,246.0,67828953.0,1982.0,-73.9774931,40.7613751,2
394,995,2.0,4.0,10036.0,O4,5.0,45800.0,1642675.0,51.0,2.0,351934650.0,1998.0,-73.9857642,40.756021399999995,2
424,1030,2.0,4.0,10019.0,R4,3.0,27604.0,396613.0,70.0,117.0,90835087.0,2015.0,-73.98056700000001,40.7669584,2
425,1137,3.0,6.0,10023.0,R4,3.0,28455.0,396861.0,45.0,343.0,61250858.0,1989.0,-73.984262,40.774221600000004,2
439,40,2.0,1.0,10005.0,O4,5.0,53632.0,1617206.0,47.0,1.0,181755900.0,1987.0,-74.0085048,40.7062404,2
491,1263,2.0,4.0,10036.0,RM,4.0,7431.0,133983.0,34.0,153.0,24811671.0,2005.0,-73.9793172,40.757540999999996,0
857,968,2.0,4.0,10016.0,RM,4.0,45526.0,457946.0,37.0,487.0,58536314.0,1984.0,-73.97183620000001,40.745155100000005,0
960,524,2.0,1.0,10012.0,W6,8.0,188029.0,1260362.0,30.0,2.0,86879250.0,1967.0,-73.99795429999999,40.7267934,0
1070,1852,3.0,7.0,10025.0,RM,4.0,113410.0,588459.0,29.0,371.0,82187865.0,2007.0,-73.9667518,40.7947101,0
1976,1284,2.0,4.0,10017.0,O4,5.0,35200.0,810426.0,40.0,74.0,192125700.0,1968.0,-73.9755455,40.756623499999996,0
1977,1285,2.0,4.0,10017.0,O4,5.0,38360.0,836660.0,39.0,102.0,130972050.0,1967.0,-73.9753936,40.7573701,0
2455,16,2.0,1.0,10004.0,RM,4.0,20763.0,344963.0,35.0,234.0,49054537.0,2006.0,-74.01709620000001,40.7062284,0
2458,92,2.0,1.0,10038.0,RH,5.0,9875.0,163935.0,34.0,3.0,16586551.0,2013.0,-74.0059696,40.710451,0
2477,72,2.0,1.0,10038.0,R4,3.0,4836.0,116680.0,57.0,98.0,10147043.0,2016.0,-74.00476809999999,40.7054995,2
2875,1027,2.0,4.0,10019.0,RH,5.0,35145.0,665696.0,30.0,290.0,139162329.0,1925.0,-73.9811849,40.7647188,0
2967,1171,3.0,6.0,10023.0,D6,4.0,57638.0,437396.0,33.0,246.0,75136050.0,2016.0,-73.9918044,40.7726771,0
3131,1701,4.0,8.0,10029.0,D4,3.0,519220.0,2046455.0,31.0,1604.0,70344900.0,1974.0,-73.9376821,40.7908856,0
3316,1312,2.0,4.0,10022.0,RM,4.0,17272.0,453533.0,57.0,231.0,60348125.0,1975.0,-73.9697572,40.7617109,2
3421,1542,2.0,5.0,10075.0,RM,4.0,28401.0,425743.0,36.0,546.0,57502006.0,1974.0,-73.9542451,40.773327,0
3528,22,2.0,1.0,10004.0,O4,5.0,13323.0,300676.0,38.0,66.0,21637800.0,1927.0,-74.0124398,40.7062318,0
3647,1571,2.0,5.0,10128.0,D6,4.0,7796.0,194212.0,32.0,199.0,16419150.0,2004.0,-73.9464012,40.7803996,0
3680,6,30.0,26.0,11101.0,RM,4.0,12100.0,228309.0,32.0,309.0,26712451.0,2013.0,-73.9590406,40.7425191,3
3957,1423,2.0,4.0,10065.0,D6,4.0,80333.0,938324.0,32.0,618.0,70149600.0,1962.0,-73.96079820000001,40.76687929999999,0
4034,1347,2.0,5.0,10022.0,RM,4.0,11666.0,199371.0,31.0,153.0,33600160.0,2003.0,-73.96607,40.7576559,0
4043,838,2.0,4.0,10018.0,RM,4.0,16350.0,316572.0,58.0,168.0,83192419.0,2010.0,-73.9838129,40.750098,2
4239,763,2.0,3.0,10018.0,HS,5.0,4007.0,85706.0,32.0,1.0,11849850.0,2006.0,-73.9929543,40.756324,0
4303,705,2.0,3.0,10001.0,O4,5.0,7200.0,2907315.0,58.0,58.0,253884150.0,2019.0,-74.00010470000001,40.7545346,2
5265,1171,3.0,6.0,10069.0,RM,4.0,36864.0,451749.0,40.0,263.0,83209513.0,2008.0,-73.990786,40.774488500000004,0
5473,1362,2.0,4.0,10022.0,RM,4.0,9233.0,152211.0,32.0,113.0,21367347.0,2002.0,-73.9655917,40.7541727,0
5834,1832,3.0,7.0,10025.0,RM,4.0,28458.0,314041.0,28.0,218.0,19541250.0,1971.0,-73.9668862,40.7930523,0
5958,151,2.0,1.0,10007.0,D6,4.0,25831.0,434418.0,53.0,443.0,48875850.0,1988.0,-74.0059773,40.715819700000004,2
6413,231,13.0,33.0,11201.0,D4,3.0,23325.0,441063.0,30.0,275.0,28846800.0,1929.0,-73.9941036,40.698181899999994,1
7798,1009,2.0,4.0,10019.0,O4,5.0,12552.0,542584.0,61.0,103.0,96549750.0,1988.0,-73.9796362,40.7648421,2
7799,1023,2.0,3.0,10019.0,D6,4.0,11350.0,190289.0,26.0,217.0,23948550.0,1987.0,-73.98496490000001,40.763218,0
7891,1455,2.0,5.0,10065.0,RM,4.0,40200.0,378474.0,38.0,271.0,52873684.0,1999.0,-73.9606793,40.7603742,0
7935,1009,2.0,4.0,10019.0,H1,5.0,22092.0,536719.0,41.0,9.0,62364150.0,1939.0,-73.9784812,40.7642627,0
7936,1118,3.0,6.0,10023.0,D4,3.0,28125.0,400000.0,32.0,277.0,43008750.0,1969.0,-73.979753,40.7723984,0
8226,762,2.0,3.0,10018.0,H3,5.0,7402.0,103133.0,35.0,271.0,15340050.0,2013.0,-73.9917308,40.755261700000005,0
8279,1320,2.0,4.0,10017.0,RM,4.0,6935.0,169384.0,38.0,174.0,22512605.0,1988.0,-73.9706887,40.7530844,0
8302,1327,2.0,4.0,10022.0,RM,4.0,10042.0,197109.0,43.0,176.0,32305947.0,1990.0,-73.96714940000001,40.757324100000005,0
8307,833,2.0,4.0,10001.0,O4,5.0,30750.0,671734.0,39.0,55.0,96242400.0,1969.0,-73.98787359999999,40.7477737,0
8323,1607,4.0,8.0,10029.0,RM,4.0,16507.0,354089.0,43.0,231.0,54142651.0,2013.0,-73.9523729,40.7912302,0
8335,1139,3.0,6.0,10023.0,D8,3.0,30125.0,568001.0,47.0,456.0,66402450.0,1986.0,-73.98334090000002,40.7755664,2
10844,1295,2.0,4.0,10017.0,O4,5.0,10419.0,118587.0,26.0,38.0,23260050.0,1937.0,-73.97643199999999,40.750459,0
11026,1375,2.0,4.0,10022.0,RD,3.0,6024.0,186643.0,51.0,43.0,63428415.0,2015.0,-73.9700052,40.764055,2
11045,807,2.0,3.0,10001.0,RM,4.0,22080.0,473783.0,59.0,462.0,90285430.0,2005.0,-73.99014,40.748723600000005,2
