index_right,ntaname,Unnamed: 0.1,geometry
0,Battery Park City-Lower Manhattan,32,POINT (-74.00512890000002 40.7063613)
1,Battery Park City-Lower Manhattan,33,POINT (-74.00437149999998 40.7068609)
2,Midtown-Midtown South,157,POINT (-73.9774931 40.7613751)
3,Midtown-Midtown South,394,POINT (-73.98576420000001 40.7560214)
4,Midtown-Midtown South,424,POINT (-73.98056700000002 40.7669584)
5,Lincoln Square,425,POINT (-73.984262 40.7742216)
6,Battery Park City-Lower Manhattan,439,POINT (-74.0085048 40.7062404)
7,Midtown-Midtown South,491,POINT (-73.9793172 40.757541)
8,Turtle Bay-East Midtown,857,POINT (-73.97183620000001 40.74515510000001)
9,West Village,960,POINT (-73.99795429999998 40.7267934)
10,Upper West Side,1070,POINT (-73.9667518 40.7947101)
11,Midtown-Midtown South,1976,POINT (-73.9755455 40.7566235)
12,Midtown-Midtown South,1977,POINT (-73.9753936 40.7573701)
13,Battery Park City-Lower Manhattan,2455,POINT (-74.01709620000003 40.7062284)
14,Battery Park City-Lower Manhattan,2458,POINT (-74.0059696 40.710451)
15,Battery Park City-Lower Manhattan,2477,POINT (-74.00476809999998 40.7054995)
16,Midtown-Midtown South,2875,POINT (-73.9811849 40.7647188)
17,Lincoln Square,2967,POINT (-73.99180440000001 40.7726771)
18,East Harlem South,3131,POINT (-73.9376821 40.7908856)
19,Turtle Bay-East Midtown,3316,POINT (-73.9697572 40.7617109)
20,Yorkville,3421,POINT (-73.95424509999999 40.773327)
21,Battery Park City-Lower Manhattan,3528,POINT (-74.0124398 40.7062318)
22,Yorkville,3647,POINT (-73.9464012 40.7803996)
23,Hunters Point-Sunnyside-West Maspeth,3680,POINT (-73.95904059999999 40.7425191)
24,Lenox Hill-Roosevelt Island,3957,POINT (-73.96079820000001 40.76687929999999)
25,Turtle Bay-East Midtown,4034,POINT (-73.96607 40.7576559)
26,Midtown-Midtown South,4043,POINT (-73.9838129 40.750098)
27,Clinton,4239,POINT (-73.99295429999999 40.756324)
28,Hudson Yards-Chelsea-Flatiron-Union Square,4303,POINT (-74.00010470000002 40.7545346)
29,Lincoln Square,5265,POINT (-73.990786 40.7744885)
30,Turtle Bay-East Midtown,5473,POINT (-73.9655917 40.7541727)
31,Upper West Side,5834,POINT (-73.9668862 40.7930523)
32,SoHo-TriBeCa-Civic Center-Little Italy,5958,POINT (-74.0059773 40.7158197)
33,Brooklyn Heights-Cobble Hill,6413,POINT (-73.9941036 40.6981819)
34,Midtown-Midtown South,7798,POINT (-73.9796362 40.7648421)
35,Midtown-Midtown South,7799,POINT (-73.98496490000002 40.763218)
36,Lenox Hill-Roosevelt Island,7891,POINT (-73.9606793 40.7603742)
37,Midtown-Midtown South,7935,POINT (-73.9784812 40.7642627)
38,Lincoln Square,7936,POINT (-73.979753 40.7723984)
39,Clinton,8226,POINT (-73.9917308 40.75526170000001)
40,Turtle Bay-East Midtown,8279,POINT (-73.9706887 40.7530844)
41,Turtle Bay-East Midtown,8302,POINT (-73.96714940000003 40.75732410000001)
42,Midtown-Midtown South,8307,POINT (-73.98787359999999 40.7477737)
43,East Harlem South,8323,POINT (-73.9523729 40.7912302)
44,Lincoln Square,8335,POINT (-73.98334090000002 40.7755664)
45,Murray Hill-Kips Bay,10844,POINT (-73.97643199999997 40.750459)
46,Upper East Side-Carnegie Hill,11026,POINT (-73.9700052 40.764055)
47,Midtown-Midtown South,11045,POINT (-73.99014 40.74872360000001)
48,Upper East Side-Carnegie Hill,11366,POINT (-73.96299259999998 40.7743814)
49,Battery Park City-Lower Manhattan,11450,POINT (-74.00675200000001 40.7070831)
50,Battery Park City-Lower Manhattan,11481,POINT (-74.0069324 40.7074097)
51,Battery Park City-Lower Manhattan,12054,POINT (-74.006745 40.7087739)
52,Murray Hill-Kips Bay,13038,POINT (-73.9812175 40.7515386)
53,East Harlem South,13194,POINT (-73.94813959999998 40.79680560000001)
54,Clinton,13215,POINT (-73.9926712 40.7704347)
55,Battery Park City-Lower Manhattan,13664,POINT (-74.01752519999999 40.7055724)
56,Forest Hills,13903,POINT (-73.8508422 40.7283464)
57,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,14538,POINT (-73.9849672 40.6889559)
58,Lenox Hill-Roosevelt Island,16465,POINT (-73.95669140000003 40.7702621)
59,Battery Park City-Lower Manhattan,16642,POINT (-74.0118516 40.7043105)
60,Fort Greene,16941,POINT (-73.9786355 40.68825220000001)
61,Greenpoint,18553,POINT (-73.96174809999999 40.73467279999999)
62,Midtown-Midtown South,19935,POINT (-73.99070329999998 40.7462835)
63,Lenox Hill-Roosevelt Island,20968,POINT (-73.95986379999999 40.7599485)
64,Turtle Bay-East Midtown,21164,POINT (-73.96931650000001 40.7622186)
65,Battery Park City-Lower Manhattan,21535,POINT (-74.00780159999999 40.7070858)
66,Murray Hill-Kips Bay,22690,POINT (-73.979359 40.750745)
67,Upper East Side-Carnegie Hill,22723,POINT (-73.96141350000001 40.776692)
68,East Tremont,22859,POINT (-73.88460329999999 40.846439)
69,Midtown-Midtown South,23679,POINT (-73.97635129999998 40.7644572)
70,Turtle Bay-East Midtown,24058,POINT (-73.9696052 40.7625398)
71,Turtle Bay-East Midtown,28800,POINT (-73.96763100000003 40.7615758)
72,Midtown-Midtown South,28835,POINT (-73.97179679999998 40.7615001)
73,Turtle Bay-East Midtown,28861,POINT (-73.9630135 40.7561508)
74,Midtown-Midtown South,28923,POINT (-73.9712766 40.7623206)
75,Upper East Side-Carnegie Hill,28934,POINT (-73.96917890000002 40.7632176)
76,Battery Park City-Lower Manhattan,28952,POINT (-74.0068567 40.7081426)
77,Chinatown,28956,POINT (-73.99198370000001 40.7230246)
78,Turtle Bay-East Midtown,28961,POINT (-73.9659896 40.7525205)
79,Upper East Side-Carnegie Hill,28997,POINT (-73.9566686 40.7829675)
80,Upper East Side-Carnegie Hill,29019,POINT (-73.97009940000002 40.7632783)
81,Upper East Side-Carnegie Hill,29021,POINT (-73.95418670000002 40.77947800000001)
82,Upper East Side-Carnegie Hill,29022,POINT (-73.95977579999997 40.7800729)
83,East Harlem South,29024,POINT (-73.9479718 40.7851295)
84,Yorkville,29030,POINT (-73.95240229999997 40.7805093)
85,Battery Park City-Lower Manhattan,29033,POINT (-74.005634 40.7083732)
86,Battery Park City-Lower Manhattan,29057,POINT (-74.0150285 40.7177183)
87,Upper East Side-Carnegie Hill,29486,POINT (-73.97142690000003 40.7655046)
88,Upper East Side-Carnegie Hill,29571,POINT (-73.9569363 40.78221)
89,Battery Park City-Lower Manhattan,40226,POINT (-74.00798210000001 40.70865850000001)
90,Battery Park City-Lower Manhattan,40246,POINT (-74.00634460000001 40.7091115)
91,Battery Park City-Lower Manhattan,40272,POINT (-74.0071418 40.7093228)
92,Midtown-Midtown South,40315,POINT (-73.9713275 40.7614945)
93,Turtle Bay-East Midtown,62713,POINT (-73.9640026 40.7560029)
94,Turtle Bay-East Midtown,63680,POINT (-73.96311180000002 40.7546385)
95,Turtle Bay-East Midtown,63689,POINT (-73.9619835 40.7584698)
96,Turtle Bay-East Midtown,63717,POINT (-73.9636964 40.7549351)
97,Turtle Bay-East Midtown,63726,POINT (-73.96353000000001 40.7556762)
98,Yorkville,63783,POINT (-73.95044129999999 40.7759879)
99,Yorkville,64589,POINT (-73.9492396 40.7846799)
100,Park Slope-Gowanus,64602,POINT (-73.97549720000001 40.6819661)
101,Park Slope-Gowanus,64637,POINT (-73.97417370000002 40.6827178)
102,Midtown-Midtown South,64680,POINT (-73.9784056 40.7617523)
103,Lower East Side,67107,POINT (-73.9860432 40.7162445)
104,Turtle Bay-East Midtown,67392,POINT (-73.96862790000002 40.7604014)
105,Turtle Bay-East Midtown,67421,POINT (-73.96792370000001 40.7610352)
106,Turtle Bay-East Midtown,67457,POINT (-73.96127249999998 40.7582445)
107,Upper East Side-Carnegie Hill,67492,POINT (-73.9682622 40.7626684)
108,Upper East Side-Carnegie Hill,67494,POINT (-73.9657675 40.7632523)
109,Upper East Side-Carnegie Hill,67719,POINT (-73.9503412 40.78437020000001)
110,Yorkville,67783,POINT (-73.95346500000002 40.7788848)
111,Yorkville,67798,POINT (-73.9497095 40.7841037)
112,Yorkville,67871,POINT (-73.9483848 40.7787317)
113,Yorkville,67984,POINT (-73.94991450000001 40.7755649)
114,Yorkville,68486,POINT (-73.9482505 40.7842595)
115,East Harlem South,71037,POINT (-73.9496288 40.78571210000001)
116,Spuyten Duyvil-Kingsbridge,75770,POINT (-73.91474220000001 40.8786797)
117,Forest Hills,87209,POINT (-73.8497698 40.7286881)
118,Flushing,92726,POINT (-73.82454370000001 40.7529518)
119,Glen Oaks-Floral Park-New Hyde Park,104634,POINT (-73.71421529999998 40.7567794)
120,Lincoln Square,125449,POINT (-73.9826382 40.7705132)
121,Lincoln Square,125470,POINT (-73.98692890000002 40.7803043)
122,Turtle Bay-East Midtown,126949,POINT (-73.96936740000002 40.7613869)
123,Upper East Side-Carnegie Hill,126950,POINT (-73.9716797 40.7650874)
124,Yorkville,127224,POINT (-73.9478852 40.7758797)
125,Upper East Side-Carnegie Hill,127235,POINT (-73.96864840000001 40.7628113)
126,Midtown-Midtown South,127308,POINT (-73.9763588 40.7635487)
127,Midtown-Midtown South,127311,POINT (-73.9749905 40.763886)
128,Midtown-Midtown South,127313,POINT (-73.9753801 40.7648111)
129,Midtown-Midtown South,127316,POINT (-73.97318220000002 40.76324879999999)
130,Yorkville,127785,POINT (-73.9530288 40.777935)
131,Yorkville,127788,POINT (-73.95283979999998 40.7796147)
132,Yorkville,127792,POINT (-73.952051 40.7768641)
133,Upper East Side-Carnegie Hill,128222,POINT (-73.95496259999999 40.7855222)
134,Yorkville,128308,POINT (-73.94717709999998 40.7763542)
135,Midtown-Midtown South,129658,POINT (-73.97182890000001 40.76234820000001)
