,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
34,9f412f22904d1e8b9fad764db74407a5,0235 - BROOKLYN DDSO,888,FOUNTAIN AVENUE,888 FOUNTAIN AVENUE,BROOKLYN,Brooklyn,3,11208.0,40.6561076136,-73.8654182398,1021591.4956799999,178342.76591400002,3327531,3045860300,305,42,107000,BK82,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,0,,,Non-public,0235 - Brooklyn Ddso,Non-public,State,NYS Office for People With Developmental Disabilities,NYSOPWDD,nysopwdd_providers,HEALTH AND HUMAN SERVICES,19.0,75,Local
35,8443466a093a9e39bfcbe185d37915af,0265 - METRO NY DDSO,25,BEAVER STREET,25 BEAVER STREET,NEW YORK,Manhattan,1,10004.0,40.7053476205,-74.01199361649999,980924.6668530001,196253.864432,1000817,1000240001,101,1,900,MN25,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,0,,,Non-public,0265 - Metro Ny Ddso,Non-public,State,NYS Office for People With Developmental Disabilities,NYSOPWDD,nysopwdd_providers,HEALTH AND HUMAN SERVICES,2.0,1,Local
36,570120648ae834978368e4bdbfb64704,0276 - STATEN ISLAND DDSO,1150,FOREST HILL ROAD,1150 FOREST HILL ROAD,STATEN ISLAND,Staten Island,5,10314.0,40.5934827535,-74.14510198949999,943951.735856,155531.557589,5130497,5020400300,502,50,27301,SI05,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,0,,,Non-public,0276 - Staten Island Ddso,Non-public,State,NYS Office for People With Developmental Disabilities,NYSOPWDD,nysopwdd_providers,HEALTH AND HUMAN SERVICES,31.0,121,Local
71,dbb5ad798b445ee052b85a77d23b288e,1010 EAST 178TH STREET,1030,EAST 178 STREET,1030 EAST 178 STREET,BRONX,Bronx,2,10460.0,40.84098187,-73.8798670689,1017490.1058100001,245692.53622399998,2013245,2031300100,206,15,36100,BX17,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - COMMUNITY CENTER,0,,,Public,NYC Housing Authority,NYCHA,City,NYC Housing Authority,NYCHA,nycha_communitycenters,HEALTH AND HUMAN SERVICES,12.0,48,Local
134,ed63192dc49ea57fa35c9762c373f325,121ST STREET FAMILY HEALTH CENTER,,,,NEW YORK,Manhattan,1,10035.0,40.800872999999996,-73.936897,1001720.7758,231062.922231,0,0,111,8,19400,MN34,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,0,,,Non-public,"Damian Family Care Centers, Inc.",Non-public,State,NYS Department of Health,NYSDOH,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,4.0,25,Regional
154,d3c80bbc4d36a2327267cf63047e2e57,131 SAINT NICHOLAS AVENUE,131,SAINT NICHOLAS AVENUE,131 SAINT NICHOLAS AVENUE,NEW YORK,Manhattan,1,10026.0,40.8040860175,-73.9530855345,997238.171382,232230.722596,1058378,1019220041,110,9,21800,MN11,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - CHILD CARE,0,,,Public,NYC Housing Authority,NYCHA,City,NYC Housing Authority,NYCHA,nycha_communitycenters,HEALTH AND HUMAN SERVICES,3.0,28,Local
173,e7259049dd6875f34fbff03bb267dd00,14 PENN DENTAL CENTER,,,,NEW YORK,Manhattan,1,10001.0,40.751511,-73.991699,986549.9297209999,213072.501643,0,0,105,3,10900,MN17,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,0,,,Non-public,"NY Hotel Trades Council&Hotel Association of NYC Health Ctr, Inc.",Non-public,State,NYS Department of Health,NYSDOH,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,2.0,14,Regional
286,2cd7240c7a3fe7f52899e8945ff6eea5,2021 GRAND CONCOURSE,,,,BRONX,Bronx,2,10453.0,40.851776,-73.904449,1010684.13709,249616.86948000002,0,0,205,14,23501,BX41,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,0,,,Non-public,"Union Community Health Center, Inc.",Non-public,State,NYS Department of Health,NYSDOH,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,9.0,46,Regional
318,d6cf546698838ab5e784556d11ae190c,2230 (THE CHILD CENTER OF NY) CHILDREN'S HCBS ICC,118-35,QUEENS BOULEVARD,118-35 QUEENS BOULEVARD,FOREST HILLS,Queens,4,11375.0,40.7152576421,-73.8306648812,1031192.6068899999,199909.529857,4052811,4022700041,406,29,75701,QN17,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,0,,,Non-public,The Child Center of NY Inc.,Non-public,State,NYS Office of Mental Health,NYSOMH,nysomh_mentalhealth,HEALTH AND HUMAN SERVICES,28.0,112,Regional
358,61baa9daa4f2cd505f7630ba951c3e77,256 MASON AVENUE RADIOLOGY,,,,STATEN ISLAND,Staten Island,5,10305.0,40.586643,-74.086708,960166.658098,153018.205578,0,5033550002,502,50,7000,SI36,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,0,,,Non-public,Staten Island University Hospital,Non-public,State,NYS Department of Health,NYSDOH,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,31.0,122,Regional
