,Unnamed: 0,geometry
0,32,POINT (-74.00512890000002 40.7063613)
1,33,POINT (-74.00437149999998 40.7068609)
2,157,POINT (-73.9774931 40.7613751)
3,394,POINT (-73.98576420000001 40.7560214)
4,424,POINT (-73.98056700000002 40.7669584)
5,425,POINT (-73.984262 40.7742216)
6,439,POINT (-74.0085048 40.7062404)
7,491,POINT (-73.9793172 40.757541)
8,857,POINT (-73.97183620000001 40.74515510000001)
9,960,POINT (-73.99795429999998 40.7267934)
10,1070,POINT (-73.9667518 40.7947101)
11,1976,POINT (-73.9755455 40.7566235)
12,1977,POINT (-73.9753936 40.7573701)
13,2455,POINT (-74.01709620000003 40.7062284)
14,2458,POINT (-74.0059696 40.710451)
15,2477,POINT (-74.00476809999998 40.7054995)
16,2875,POINT (-73.9811849 40.7647188)
17,2967,POINT (-73.99180440000001 40.7726771)
18,3131,POINT (-73.9376821 40.7908856)
19,3316,POINT (-73.9697572 40.7617109)
20,3421,POINT (-73.95424509999999 40.773327)
21,3528,POINT (-74.0124398 40.7062318)
22,3647,POINT (-73.9464012 40.7803996)
23,3680,POINT (-73.95904059999999 40.7425191)
24,3957,POINT (-73.96079820000001 40.76687929999999)
25,4034,POINT (-73.96607 40.7576559)
26,4043,POINT (-73.9838129 40.750098)
27,4239,POINT (-73.99295429999999 40.756324)
28,4303,POINT (-74.00010470000002 40.7545346)
29,5265,POINT (-73.990786 40.7744885)
30,5473,POINT (-73.9655917 40.7541727)
31,5834,POINT (-73.9668862 40.7930523)
32,5958,POINT (-74.0059773 40.7158197)
33,6413,POINT (-73.9941036 40.6981819)
34,7798,POINT (-73.9796362 40.7648421)
35,7799,POINT (-73.98496490000002 40.763218)
36,7891,POINT (-73.9606793 40.7603742)
37,7935,POINT (-73.9784812 40.7642627)
38,7936,POINT (-73.979753 40.7723984)
39,8226,POINT (-73.9917308 40.75526170000001)
40,8279,POINT (-73.9706887 40.7530844)
41,8302,POINT (-73.96714940000003 40.75732410000001)
42,8307,POINT (-73.98787359999999 40.7477737)
43,8323,POINT (-73.9523729 40.7912302)
44,8335,POINT (-73.98334090000002 40.7755664)
45,10844,POINT (-73.97643199999997 40.750459)
46,11026,POINT (-73.9700052 40.764055)
47,11045,POINT (-73.99014 40.74872360000001)
48,11366,POINT (-73.96299259999998 40.7743814)
49,11450,POINT (-74.00675200000001 40.7070831)
50,11481,POINT (-74.0069324 40.7074097)
51,12054,POINT (-74.006745 40.7087739)
52,13038,POINT (-73.9812175 40.7515386)
53,13194,POINT (-73.94813959999998 40.79680560000001)
54,13215,POINT (-73.9926712 40.7704347)
55,13664,POINT (-74.01752519999999 40.7055724)
56,13903,POINT (-73.8508422 40.7283464)
57,14538,POINT (-73.9849672 40.6889559)
58,16465,POINT (-73.95669140000003 40.7702621)
59,16642,POINT (-74.0118516 40.7043105)
60,16941,POINT (-73.9786355 40.68825220000001)
61,18553,POINT (-73.96174809999999 40.73467279999999)
62,19935,POINT (-73.99070329999998 40.7462835)
63,20968,POINT (-73.95986379999999 40.7599485)
64,21164,POINT (-73.96931650000001 40.7622186)
65,21535,POINT (-74.00780159999999 40.7070858)
66,22690,POINT (-73.979359 40.750745)
67,22723,POINT (-73.96141350000001 40.776692)
68,22859,POINT (-73.88460329999999 40.846439)
69,23679,POINT (-73.97635129999998 40.7644572)
70,24058,POINT (-73.9696052 40.7625398)
71,28800,POINT (-73.96763100000003 40.7615758)
72,28835,POINT (-73.97179679999998 40.7615001)
