,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
2,1ac6da16a9d1325bb4ac9fce32ac0160,"""UNCLE"" VITO F. MARANZANO GLENDALE PLAYGROUND",2869,CENTRAL AVENUE,2869 CENTRAL AVENUE,RIDGEWOOD,Queens,4,11385.0,40.704931,-73.881757,1017034.08196,196123.976233,4089051,4036610001,405,30,62500,QN19,PARKS AND PLAZAS,RECREATION AND WATERFRONT SITES,PLAYGROUND,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",24.0,104,Local
38,M010032,"1 BATTERY PARK PLAZA, NEW YORK, NY 10004",1,BATTERY PARK PLAZA,1 BATTERY PARK PLAZA,NEW YORK,Manhattan,1,10004.0,40.7033721223,-74.0137713434,980431.6636600001,195534.203798,1000021,1000090029,101,1,900,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
39,M060047,1 DAG HAMMARSKJOLD PLAZA,885,SECOND AVENUE,885 SECOND AVENUE,NEW YORK,Manhattan,1,10017.0,40.753468853899996,-73.97003353640001,992552.461566,213787.122291,1037988,1013210022,106,4,9000,MN19,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,17,Local
40,M010020,1 EXCHANGE PLAZA,55,BROADWAY,55 BROADWAY,NEW YORK,Manhattan,1,10006.0,40.7068632877,-74.0130939488,980619.672811,196806.111195,1000807,1000200016,101,1,1300,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
41,K020003,"1 METROTECH CENTER, BROOKLYN, NY 11201",1,METROTECH CENTER,1 METROTECH CENTER,BROOKLYN,Brooklyn,3,11201.0,40.693218266799995,-73.98671820199999,987933.162569,191834.832139,3319418,3001470004,302,33,1100,BK38,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",13.0,84,Local
42,M010029,"1 NEW YORK PLAZA, NEW YORK, NY 10004",1,NEW YORK PLAZA,1 NEW YORK PLAZA,NEW YORK,Manhattan,1,10004.0,40.702153,-74.01202099999999,980916.914822,195089.969678,1000005,1000047501,101,1,900,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
43,M010030,1 STATE STREET PLAZA,1,STATE STREET,1 STATE STREET,NEW YORK,Manhattan,1,10004.0,40.7027651012,-74.0133493756,980548.627634,195313.029754,1000018,1000090001,101,1,900,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
45,M010017,10 HANOVER SQUARE,86,WATER STREET,86 WATER STREET,NEW YORK,Manhattan,1,10005.0,40.7045908721,-74.0088204212,981804.434741,195978.053796,1000859,1000310001,101,1,700,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
48,M070013,"10 WEST 66 STREET, NEW YORK, NY 10023",10,WEST 66 STREET,10 WEST 66 STREET,NEW YORK,Manhattan,1,10023.0,40.7723256691,-73.9797746147,989852.027434,220656.507063,1028163,1011180022,107,6,14900,MN14,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",3.0,20,Local
57,a6023045d6711f5b4c09077158b4b1d6,100 QUINCY STREET COMMUNITY GARDEN,100,QUINCY STREET,100 QUINCY STREET,BROOKLYN,Brooklyn,3,11238.0,40.685966,-73.957236,996110.1329620001,189195.234926,3056545,3019730038,303,35,22900,BK69,PARKS AND PLAZAS,GARDENS,GARDEN,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",13.0,79,Local
