,bldgclass,bldgarea,officearea,retailarea,resarea,comarea,unitstotal,assesstot,longitude,latitude,Cluster
32,RC,462377.0,455733.0,6644.0,0.0,462377.0,30.0,43605009.0,-74.00512890000002,40.7063613,2
33,RC,744146.0,697701.0,46445.0,0.0,744146.0,36.0,79710304.0,-74.00437149999999,40.7068609,1
157,R4,404693.0,0.0,0.0,404693.0,0.0,246.0,67828953.0,-73.9774931,40.7613751,0
394,O4,1642675.0,1597675.0,45000.0,0.0,1642675.0,2.0,351934650.0,-73.9857642,40.756021399999995,3
424,R4,396613.0,0.0,0.0,396613.0,0.0,117.0,90835087.0,-73.98056700000001,40.7669584,0
425,R4,396861.0,0.0,0.0,396861.0,0.0,343.0,61250858.0,-73.984262,40.774221600000004,0
439,O4,1617206.0,1607206.0,10000.0,0.0,1617206.0,1.0,181755900.0,-74.0085048,40.7062404,3
491,RM,133983.0,0.0,7128.0,126855.0,7128.0,153.0,24811671.0,-73.9793172,40.757540999999996,0
857,RM,457946.0,0.0,5595.0,415831.0,42115.0,487.0,58536314.0,-73.97183620000001,40.745155100000005,0
960,W6,1260362.0,3587.0,0.0,0.0,16387.0,2.0,86879250.0,-73.99795429999999,40.7267934,0
1070,RM,588459.0,0.0,148726.0,336871.0,251588.0,371.0,82187865.0,-73.9667518,40.7947101,0
1976,O4,810426.0,792332.0,18094.0,0.0,810426.0,74.0,192125700.0,-73.9755455,40.756623499999996,1
1977,O4,836660.0,788630.0,10050.0,0.0,836660.0,102.0,130972050.0,-73.9753936,40.7573701,1
2455,RM,344963.0,0.0,2956.0,342007.0,2956.0,234.0,49054537.0,-74.01709620000001,40.7062284,0
2458,RH,163935.0,,,,,3.0,16586551.0,-74.0059696,40.710451,0
2477,R4,116680.0,0.0,0.0,116680.0,0.0,98.0,10147043.0,-74.00476809999999,40.7054995,0
2875,RH,665696.0,0.0,159101.0,0.0,169110.0,290.0,139162329.0,-73.9811849,40.7647188,0
2967,D6,437396.0,0.0,1844.0,326189.0,3963.0,246.0,75136050.0,-73.9918044,40.7726771,0
3131,D4,2046455.0,0.0,41031.0,1841504.0,204951.0,1604.0,70344900.0,-73.9376821,40.7908856,0
3316,RM,453533.0,99928.0,13105.0,284161.0,169372.0,231.0,60348125.0,-73.9697572,40.7617109,0
3421,RM,425743.0,0.0,11772.0,374223.0,51520.0,546.0,57502006.0,-73.9542451,40.773327,0
3528,O4,300676.0,279778.0,20398.0,0.0,300676.0,66.0,21637800.0,-74.0124398,40.7062318,2
3647,D6,194212.0,0.0,4000.0,190212.0,4000.0,199.0,16419150.0,-73.9464012,40.7803996,0
3680,RM,228309.0,0.0,2893.0,225416.0,2893.0,309.0,26712451.0,-73.9590406,40.7425191,0
3957,D6,938324.0,0.0,26805.0,879019.0,59305.0,618.0,70149600.0,-73.96079820000001,40.76687929999999,0
4034,RM,199371.0,0.0,4964.0,182817.0,16554.0,153.0,33600160.0,-73.96607,40.7576559,0
4043,RM,316572.0,0.0,31534.0,212800.0,31534.0,168.0,83192419.0,-73.9838129,40.750098,0
4239,HS,85706.0,,,,,1.0,11849850.0,-73.9929543,40.756324,0
4303,O4,2907315.0,0.0,4800.0,0.0,7200.0,58.0,253884150.0,-74.00010470000001,40.7545346,0
5265,RM,451749.0,3748.0,0.0,422468.0,29281.0,263.0,83209513.0,-73.990786,40.774488500000004,0
5473,RM,152211.0,0.0,7089.0,144154.0,8057.0,113.0,21367347.0,-73.9655917,40.7541727,0
5834,RM,314041.0,0.0,11642.0,302399.0,11642.0,218.0,19541250.0,-73.9668862,40.7930523,0
5958,D6,434418.0,0.0,12140.0,407878.0,26540.0,443.0,48875850.0,-74.0059773,40.715819700000004,0
6413,D4,441063.0,0.0,0.0,403584.0,37479.0,275.0,28846800.0,-73.9941036,40.698181899999994,0
7798,O4,542584.0,537584.0,5000.0,0.0,542584.0,103.0,96549750.0,-73.9796362,40.7648421,2
7799,D6,190289.0,0.0,5708.0,184581.0,5708.0,217.0,23948550.0,-73.98496490000001,40.763218,0
7891,RM,378474.0,0.0,94447.0,252825.0,125649.0,271.0,52873684.0,-73.9606793,40.7603742,0
7935,H1,536719.0,0.0,320.0,0.0,17974.0,9.0,62364150.0,-73.9784812,40.7642627,0
7936,D4,400000.0,1900.0,0.0,358100.0,41900.0,277.0,43008750.0,-73.979753,40.7723984,0
8226,H3,103133.0,,,,,271.0,15340050.0,-73.9917308,40.755261700000005,0
8279,RM,169384.0,0.0,0.0,134399.0,34985.0,174.0,22512605.0,-73.9706887,40.7530844,0
8302,RM,197109.0,0.0,0.0,174640.0,22469.0,176.0,32305947.0,-73.96714940000001,40.757324100000005,0
8307,O4,671734.0,580690.0,8000.0,0.0,645977.0,55.0,96242400.0,-73.98787359999999,40.7477737,2
8323,RM,354089.0,117256.0,0.0,222093.0,131996.0,231.0,54142651.0,-73.9523729,40.7912302,0
8335,D8,568001.0,0.0,6174.0,495827.0,72174.0,456.0,66402450.0,-73.98334090000002,40.7755664,0
10844,O4,118587.0,108587.0,10000.0,0.0,118587.0,38.0,23260050.0,-73.97643199999999,40.750459,0
11026,RD,186643.0,0.0,0.0,186643.0,0.0,43.0,63428415.0,-73.9700052,40.764055,0
11045,RM,473783.0,0.0,4917.0,326067.0,147716.0,462.0,90285430.0,-73.99014,40.748723600000005,0
11366,H1,294142.0,0.0,11040.0,0.0,35520.0,259.0,49350150.0,-73.96299259999999,40.7743814,0
11450,D8,222001.0,15000.0,8500.0,198500.0,23500.0,194.0,25842150.0,-74.006752,40.7070831,0
